strain,time_h,mean,sem,n
L1091,0,8.26,0.0,3
L1091,6,7.983333333333333,0.034801021696368235,3
L1091,24,8.346666666666666,0.0437162568286804,3
L1091,48,8.283333333333333,0.00881917103688234,3
L1091,72,8.020000000000001,0.02645751311064585,3
L1253,0,8.41,0.0,3
L1253,6,8.043333333333335,0.058404718226450644,3
L1253,24,8.313333333333334,0.013333333333332902,3
L1253,48,8.14,0.010000000000000306,3
L1253,72,8.006666666666666,0.006666666666666673,3
L2182,0,8.46,0.0,3
L2182,6,8.263333333333334,0.04484541349024584,3
L2182,24,8.323333333333332,0.0218581284143401,3
L2182,48,8.23,0.019999999999999574,3
L2182,72,8.146666666666667,0.046666666666666703,3
L43,0,8.37,0.0,3
L43,6,8.06,0.04932882862316244,3
L43,24,8.333333333333334,0.05840471822645076,3
L43,48,8.146666666666667,0.021858128414339897,3
L43,72,8.033333333333333,0.01666666666666698,3
